Province_Code,Province_Name,District_Code,District_Name,DSD_Code,DSD_Name,GND_Code,GND_Name,AG_0_14,AG_15_59,AG_60_64,AG_65_and_above,Male,Female,Total,Occupied_Housing_Units,Poverty_Percentage,Unemployment_Rate,Road_Density,Road_Length
1,Western,11,Colombo,15,Seethawaka,60,Agra Pedesa,320,1360,86,229,991,1004,1995,545,18.07,7.32,5.621794199,2.290669608
1,Western,11,Colombo,15,Seethawaka,85,Akaravita,310,882,74,193,705,754,1459,414,24.49,8.17,7.245536488,12.89317889
1,Western,11,Colombo,15,Seethawaka,125,Aluth Ambalama,365,1205,97,260,908,1019,1927,538,23.49,7.75,1.113095134,2.350286578
1,Western,11,Colombo,3,Colombo,100,Aluthkade East,2117,5425,454,864,4387,4473,8860,1815,17.2,5.71,10.0137911,2.8149943
1,Western,11,Colombo,3,Colombo,105,Aluthkade West,1219,3284,296,519,2695,2623,5318,1144,15.99,5.19,13.39692783,1.980047478
1,Western,11,Colombo,3,Colombo,30,Aluthmawatha,2649,8785,754,1526,6796,6918,13714,3648,12.66,3.48,9.288553923,6.036623113
1,Western,11,Colombo,12,Homagama,390,Ambalangoda,444,1615,158,346,1221,1342,2563,730,12.65,5.98,2.32507976,2.853454542
1,Western,11,Colombo,6,Kolonnawa,70,Ambathale,543,2103,164,379,1620,1569,3189,944,9.25,4.11,7.935175972,7.579828205
1,Western,11,Colombo,18,Padukka,110,Angampitiya,403,1403,133,297,1088,1148,2236,662,14.94,5.35,3.046104899,6.739712579
1,Western,11,Colombo,18,Padukka,120,Angamuwa,267,1075,83,264,845,844,1689,499,11.21,4.51,5.074436271,25.32341887
1,Western,11,Colombo,33,Moratuwa,5,Angulana North,1077,3129,222,400,2401,2427,4828,1245,18.02,6.62,19.68985037,5.782127647
1,Western,11,Colombo,33,Moratuwa,55,Angulana South,516,1634,131,267,1290,1258,2548,688,14.7,5.8,20.69209189,4.619356318
1,Western,11,Colombo,15,Seethawaka,145,Aradhana Kanda,472,1857,149,429,1371,1536,2907,815,21.18,6.75,9.312020753,9.688811172
1,Western,11,Colombo,9,Kaduwela,225,Arangala,921,3617,337,881,2808,2948,5756,1615,12.74,6.01,20.61480845,23.76435817
1,Western,11,Colombo,18,Padukka,95,Arukwatta North,254,1011,97,240,755,847,1602,452,16.96,5.39,5.6653414,4.298705255
1,Western,11,Colombo,18,Padukka,100,Arukwatta South,392,1430,118,330,1095,1175,2270,663,16.02,5.56,3.909251648,7.201123601
1,Western,11,Colombo,9,Kaduwela,245,Aruppitiya,263,1374,105,355,1021,1076,2097,611,10.3,5.02,11.99008469,7.621932095
1,Western,11,Colombo,9,Kaduwela,250,Asiri Uyana,275,1649,190,528,1280,1362,2642,857,8.16,3.24,19.06550365,9.552861958
1,Western,11,Colombo,9,Kaduwela,205,Athurugiriya,877,3942,367,1066,3041,3211,6252,1813,11.49,5.17,8.281158592,17.94074221
1,Western,11,Colombo,9,Kaduwela,285,Athurugiriya South,749,2976,238,612,2221,2354,4575,1293,12.19,6.16,9.002511923,12.16576732
1,Western,11,Colombo,12,Homagama,20,Atigala East,478,1530,112,326,1195,1251,2446,675,14.01,7.26,5.125862852,14.55239929
1,Western,11,Colombo,12,Homagama,15,Atigala West,435,1363,88,269,1030,1125,2155,600,14.37,7.16,5.325772675,9.105102233
1,Western,11,Colombo,31,Rathmalana,30,Attidiya North,1145,4815,466,1200,3698,3928,7626,2247,7.32,4.05,10.52030755,15.68533772
1,Western,11,Colombo,31,Rathmalana,35,Attidiya South,1250,4738,428,1117,3669,3864,7533,2142,8.69,4.73,13.3528463,19.41710681
1,Western,11,Colombo,15,Seethawaka,50,Avissawella,267,1214,109,252,900,942,1842,507,18.1,6.36,8.867723819,4.587294386
1,Western,11,Colombo,27,Thimbirigasyaya,10,Bambalapitiya,701,4230,522,1246,3304,3395,6699,2158,4.88,2.4,17.05576554,24.44371501
1,Western,11,Colombo,36,Kesbewa,125,Bangalawatta,249,1261,164,389,978,1085,2063,630,8.17,3.3,29.04690004,15.73584186
1,Western,11,Colombo,36,Kesbewa,250,Batakettara North,1026,4228,426,932,3202,3410,6612,1902,9.12,5.29,7.909219924,12.13031074
1,Western,11,Colombo,36,Kesbewa,290,Batakettara South,1152,4643,493,953,3530,3711,7241,1999,10.02,6.22,6.000847998,7.399587869
1,Western,11,Colombo,6,Kolonnawa,135,Batalandahena,951,3069,282,631,2378,2555,4933,1312,14.2,5.19,15.7549022,5.919086256
1,Western,11,Colombo,9,Kaduwela,185,Batapotha,1138,5012,440,1087,3797,3880,7677,2129,11.35,6.02,22.02382327,27.73117545
1,Western,11,Colombo,12,Homagama,25,Batawala,535,1766,127,285,1312,1401,2713,757,12.72,6.93,6.944805873,12.35797841
1,Western,11,Colombo,9,Kaduwela,90,Batewela,428,2027,150,310,1411,1504,2915,996,7.15,3.65,1.022659117,9.614370079
1,Western,11,Colombo,9,Kaduwela,180,Battaramulla North,220,1303,151,454,968,1160,2128,655,11.23,3.41,16.12468844,9.365029054
1,Western,11,Colombo,9,Kaduwela,255,Battaramulla South,148,879,121,311,692,767,1459,466,9.35,3.24,17.43614649,11.50128721
1,Western,11,Colombo,36,Kesbewa,340,Batuwandara North,288,1092,116,212,809,899,1708,471,11.26,6.43,5.625779831,3.191856901
1,Western,11,Colombo,36,Kesbewa,345,Batuwandara South,257,1065,88,228,788,850,1638,471,9.37,5.51,7.4093502,2.965108023
1,Western,11,Colombo,6,Kolonnawa,80,Belagama,655,2611,237,536,1946,2093,4039,1089,12.57,4.71,13.33970121,6.234976188
1,Western,11,Colombo,18,Padukka,185,Beliattavila,185,665,38,111,499,500,999,280,14.38,7.67,1.508606688,2.507340243
1,Western,11,Colombo,36,Kesbewa,25,Bellanvila,527,2308,230,634,1806,1893,3699,1104,8.56,4.44,12.23075532,6.534966917
1,Western,11,Colombo,18,Padukka,170,Beruketiya,482,1723,123,311,1287,1352,2639,766,14.61,6.33,6.063254904,13.35760857
1,Western,11,Colombo,3,Colombo,40,Bloemendhal,1426,5018,452,875,3678,4093,7771,2111,12.39,3.26,11.45666011,11.71141789
1,Western,11,Colombo,36,Kesbewa,215,Bodhirajapura,373,1321,125,230,997,1052,2049,594,9,5.62,6.039968699,19.07390786
1,Western,11,Colombo,36,Kesbewa,155,Bokundara,512,2453,244,564,1837,1936,3773,1135,6.52,3.81,9.277995189,6.514239849
1,Western,11,Colombo,15,Seethawaka,5,Bollathawa,336,1135,111,239,865,956,1821,518,21.75,6.91,3.330979128,8.067725025
1,Western,11,Colombo,6,Kolonnawa,130,Bopetta,1034,2907,235,459,2269,2366,4635,1082,16.42,7.02,8.533531877,13.71286358
1,Western,11,Colombo,36,Kesbewa,50,Boralesgamuwa East A,463,2729,282,767,2017,2224,4241,1331,6.5,3.3,13.67736639,10.92229927
1,Western,11,Colombo,36,Kesbewa,65,Boralesgamuwa East B,599,3324,360,829,2441,2671,5112,1477,7.82,4.24,12.23188579,13.59724007
1,Western,11,Colombo,36,Kesbewa,30,Boralesgamuwa West A,600,2590,269,650,1990,2119,4109,1213,8.63,4.6,12.77194369,9.328403531
1,Western,11,Colombo,36,Kesbewa,55,Boralesgamuwa West B,411,1686,158,442,1266,1431,2697,788,10.81,5.18,14.02357254,8.001406299
1,Western,11,Colombo,36,Kesbewa,35,Boralesgamuwa West C,162,1015,94,226,635,862,1497,407,12.1,5.45,8.433056698,4.091779899
1,Western,11,Colombo,9,Kaduwela,215,Boralugoda,625,2419,197,485,1798,1928,3726,1024,13.06,6.6,11.35710828,11.32881811
1,Western,11,Colombo,27,Thimbirigasyaya,40,Borella North,2079,11099,934,1921,9064,6969,16033,3546,5.52,4.97,13.88165469,13.53629482
1,Western,11,Colombo,27,Thimbirigasyaya,45,Borella South,504,2224,205,590,1700,1823,3523,919,7.8,3.91,20.37797073,13.51397114
1,Western,11,Colombo,33,Moratuwa,35,Borupana,776,3620,317,727,2670,2770,5440,1445,11.41,4.87,11.02139546,10.80073454
1,Western,11,Colombo,12,Homagama,245,Brahmanagama,870,3548,288,697,2765,2638,5403,1561,8.61,5.64,8.082101943,15.60851731
1,Western,11,Colombo,15,Seethawaka,220,Brandigampala,241,759,55,178,584,649,1233,350,24.03,7.75,1.421527829,2.131547771
1,Western,11,Colombo,33,Moratuwa,25,Dahampura,314,1639,161,444,1183,1375,2558,722,12.43,3.84,23.62343205,9.360865928
1,Western,11,Colombo,6,Kolonnawa,115,Dahampura,630,2040,186,386,1559,1683,3242,893,13.5,4.9,23.62343205,9.360865928
1,Western,11,Colombo,21,Maharagama,115,Dambahena,681,3425,342,959,2577,2830,5407,1638,6.11,3.04,12.11862451,12.51359582
1,Western,11,Colombo,18,Padukka,230,Dambora,176,571,44,115,459,447,906,249,17.76,8.57,0.260497928,2.75661142
1,Western,11,Colombo,18,Padukka,165,Dampe,293,1272,79,219,934,929,1863,479,12.48,7.63,5.057357093,14.81616954
1,Western,11,Colombo,36,Kesbewa,310,Dampe,899,3215,281,622,2496,2521,5017,1383,10.47,6.94,5.057357093,14.81616954
1,Western,11,Colombo,9,Kaduwela,100,Dedigamuwa,472,1641,133,330,1253,1323,2576,755,12.5,6.05,4.673320509,10.78648881
1,Western,11,Colombo,12,Homagama,250,Deepangoda,633,2526,211,424,1817,1977,3794,1069,11.5,6.25,6.303624828,10.12531912
1,Western,11,Colombo,30,Dehiwala,45,Dehiwala East,1320,5552,397,993,3704,4558,8262,1984,6.49,4.64,16.04584394,7.645727485
1,Western,11,Colombo,30,Dehiwala,40,Dehiwala West,1062,4281,402,1301,3380,3666,7046,2210,4,2.75,22.65825125,11.26719594
1,Western,11,Colombo,36,Kesbewa,305,Delthara East,300,1020,97,258,818,857,1675,443,13.5,7.7,2.270973001,1.858626544
1,Western,11,Colombo,36,Kesbewa,300,Delthara West,473,1522,96,288,1179,1200,2379,640,12.79,7.7,3.969345777,2.506013899
1,Western,11,Colombo,27,Thimbirigasyaya,30,Dematagoda,4308,13730,1145,2070,10522,10731,21253,5311,8.8,4.88,11.59480269,8.886071071
1,Western,11,Colombo,21,Maharagama,65,Depanama,1113,4931,447,1336,3720,4107,7827,2253,8.16,4.32,10.33503383,19.83157651
1,Western,11,Colombo,15,Seethawaka,265,Diddeniya North,319,1105,99,220,836,907,1743,480,22.16,7.67,3.391850809,8.059039359
1,Western,11,Colombo,15,Seethawaka,295,Diddeniya South,275,805,96,172,643,705,1348,404,21.66,6.2,2.5267922,6.601825477
1,Western,11,Colombo,15,Seethawaka,235,Digana,382,1061,70,177,822,868,1690,488,23.26,8.33,6.284235093,15.69583184
1,Western,11,Colombo,36,Kesbewa,15,Divulpitiya East,308,1363,137,328,1037,1099,2136,641,7.6,4.15,16.39403335,5.625330385
1,Western,11,Colombo,36,Kesbewa,20,Divulpitiya West,426,1855,186,468,1411,1524,2935,842,9.82,5.28,13.27150454,6.398830483
1,Western,11,Colombo,12,Homagama,295,Diyagama East,335,1306,137,290,1025,1043,2068,585,11.18,5.98,3.491065763,4.022173016
1,Western,11,Colombo,12,Homagama,300,Diyagama West,374,2468,123,289,1743,1511,3254,640,7.15,7.69,5.239885074,10.14205065
